"","terms","count","probability"
"1","just",206861,0.0308618233660738
"2","im",190542,0.0284271735504442
"3","like",175965,0.0262524146582061
"4","will",165243,0.0246527875166423
"5","one",154873,0.0231056756477729
"6","get",152896,0.0228107248122131
"7","can",146274,0.0218227812446478
"8","love",129446,0.019312193151173
"9","time",127872,0.0190773663352038
"10","good",126578,0.0188843130316052
"11","day",120348,0.0179548523813588
"12","now",116837,0.0174310423744542
"13","dont",114338,0.0170582137765463
"14","know",111179,0.0165869190423363
"15","new",104251,0.0155533229933944
"16","go",95894,0.0143065328402468
"17","see",94578,0.0141101973321048
"18","great",93547,0.0139563812919115
"19","thanks",92162,0.0137497515967925
"20","back",88291,0.0131722327882686
"21","today",84685,0.0126342496253811
"22","rt",83072,0.0123936043559032
"23","people",82128,0.0122527679427679
"24","us",80905,0.0120703072083776
"25","think",80219,0.0119679621030696
"26","going",78471,0.0117071760329844
"27","make",77814,0.011609157470029
"28","well",76507,0.0114141646819275
"29","got",74844,0.0111660598566691
"30","really",74315,0.0110871377565117
"31","u",74279,0.0110817668763498
"32","much",72914,0.010878121003543
"33","want",68077,0.0101564835773404
"34","need",66994,0.00999490959913541
"35","lol",66302,0.00989166934713371
"36","right",64923,0.00968593479870836
"37","cant",63184,0.00942649144866364
"38","work",63015,0.00940127815012565
"39","first",62928,0.00938829852306763
"40","way",62759,0.00936308522452965
"41","last",61909,0.00923627277626166
"42","still",60544,0.00903262690345485
"43","happy",55886,0.00833769468694631
"44","come",54528,0.00813509315194876
"45","even",54047,0.00806333222534065
"46","life",53041,0.0079132459630376
"47","night",51927,0.00774704706024874
"48","thats",51905,0.00774376485570534
"49","also",51300,0.00765350423076166
"50","year",49887,0.00744269718440559
"51","never",49806,0.00743061270404123
"52","little",49724,0.00741837903256126
"53","said",49705,0.00741554440136468
"54","follow",48851,0.00728813518863426
"55","say",48458,0.00722950308019977
"56","best",48300,0.00720593088393349
"57","take",47236,0.0070471915369251
"58","week",47109,0.00702824426524271
"59","next",46880,0.00699407949976816
"60","tonight",44815,0.00668599984603477
"61","hope",44679,0.00666570985431189
"62","youre",43958,0.00655814305995752
"63","two",43914,0.00655157865087071
"64","thank",43761,0.00652875241018247
"65","always",43592,0.00650353911164449
"66","things",43378,0.00647161221290408
"67","home",42651,0.00636315027185605
"68","made",42510,0.00634211432455513
"69","many",42422,0.0063289855063815
"70","ive",42220,0.0062988489010284
"71","better",41756,0.00622962422338565
"72","ill",41153,0.00613966198067319
"73","something",41073,0.00612772669142444
"74","show",40303,0.00601284953240521
"75","look",40059,0.00597644690019651
"76","sure",38156,0.00569253620719185
"77","feel",38037,0.00567478246443433
"78","may",37708,0.00562569858739884
"79","oh",37552,0.00560242477336378
"80","years",36429,0.00543488315053443
"81","every",35831,0.00534566686340002
"82","getting",35635,0.00531642540474058
"83","please",35601,0.00531135290680986
"84","big",35551,0.00530389335102939
"85","game",35390,0.00527987358141628
"86","ever",35389,0.00527972439030067
"87","man",35239,0.00525734572295926
"88","didnt",35212,0.00525331756283781
"89","around",35105,0.0052373541134676
"90","world",34990,0.00522019713517252
"91","thing",34477,0.00514366209286491
"92","let",34194,0.00510144100714745
"93","yes",34020,0.00507548175303141
"94","long",34011,0.00507413903299093
"95","looking",33988,0.00507070763733191
"96","another",33761,0.00503684125408858
"97","morning",33301,0.00496821334090826
"98","keep",32987,0.00492136733060692
"99","fun",32940,0.00491435534817327
"100","everyone",32848,0.00490062976553721
"101","find",32472,0.00484453390606808
"102","days",31723,0.00473278976047665
"103","wait",30668,0.00457539313350874
